x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s,ROI,SequenceID,EnterExitFlag
0.479761,0.583291,0.0,2025-01-23 15:20:33.821,2322.0,122.0,-1.2143400000000004,4.99746,-0.1611400000000018,0.5749799999999965,0.5971332347139929,4.195315466374655,36.79747336769324,BG_n2q3,0,
0.483313,0.580558,0.0,2025-01-23 15:20:33.943,2444.0,122.0,-1.0012200000000004,4.8334800000000016,0.2486399999999999,-0.1913099999999978,0.3137217966606706,2.20413440276818,36.79747336769324,BG_n2q3,0,
0.077813,0.243191,0.0,2025-01-23 15:20:34.188,2689.0,245.0,-25.33122,-15.40854,-1.932209999999997,-1.1327399999999983,2.2397623516123284,129.18146651114154,36.79747336769324,INST_n2q3_2,3,Enter
0.044815,0.177517,0.0,2025-01-23 15:20:34.310,2811.0,122.0,-27.3111,-19.348979999999997,-2.3098600000000005,-4.59718,5.14485346457992,36.14651146074883,36.79747336769324,INST_n2q3_2,3,
0.054841,0.1958749999999999,0.0,2025-01-23 15:20:34.433,2934.0,123.0,-26.709539999999997,-18.247500000000006,0.7018200000000014,1.285059999999998,1.4642166902477232,10.203600628903951,36.79747336769324,INST_n2q3_2,3,
0.051095,0.2029419999999999,0.0,2025-01-23 15:20:34.555,3056.0,122.0,-26.9343,-17.823480000000007,-0.2622199999999992,0.4946900000000003,0.5598906361960342,3.933657865545912,36.79747336769324,INST_n2q3_2,3,Exit
0.405931,0.3277699999999999,0.0,2025-01-23 15:20:34.799,3300.0,122.0,-5.644140000000001,-10.333800000000007,2.2149400000000004,1.1695600000000006,2.504761425206002,17.597855446412183,36.79747336769324,BG_n2q3,0,
0.6524059999999999,0.316264,0.0,2025-01-23 15:20:34.921,3422.0,122.0,9.144359999999995,-11.02416,17.253249999999994,-0.805419999999998,17.272039165625458,121.34922130416014,36.79747336769324,BG_n2q3,0,
0.7948379999999999,0.2198529999999999,0.0,2025-01-23 15:20:35.043,3544.0,122.0,17.690279999999994,-16.808820000000004,9.97024,-6.748770000000002,12.039583969992483,84.58724100697296,36.79747336769324,INST_n2q3_2,4,Enter
0.853304,0.1960769999999999,0.0,2025-01-23 15:20:35.165,3666.0,122.0,21.19824,-18.235380000000006,4.092620000000004,-1.66432,4.418087768118695,31.0404292842063,36.79747336769324,INST_n2q3_2,4,
