x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.551899,0.506763,0.0,2025-01-23 15:20:04.416,1468.0,123.0,3.6329300000000018,0.47340999999999744,16.010540000000002,-13.032740000000004,20.64436249921998,167.84034552211367,40.69961463229585
0.528152,0.656039,0.0,2025-01-23 15:20:04.538,1590.0,122.0,1.9706399999999968,10.922730000000003,-1.662290000000005,10.449320000000005,10.580713421433364,86.72715919207675,40.69961463229585
0.500346,0.678241,0.0,2025-01-23 15:20:04.660,1712.0,122.0,0.02421999999999702,12.476869999999998,-1.9464199999999998,1.554139999999995,2.490763327977988,20.41609285227859,40.69961463229585
0.502161,0.686096,0.0,2025-01-23 15:20:04.782,1834.0,122.0,0.1512699999999978,13.026720000000003,0.12705000000000077,0.5498500000000046,0.5643374212295382,4.625716567455232,40.69961463229585
0.413414,0.670091,0.0,2025-01-23 15:20:04.905,1957.0,123.0,-6.06102,11.906369999999999,-6.212289999999998,-1.1203500000000037,6.312505933985329,51.321186455165275,40.69961463229585
0.314978,0.696335,0.0,2025-01-23 15:20:05.027,2079.0,122.0,-12.951540000000001,13.743450000000003,-6.890520000000001,1.8370800000000038,7.131208088171318,58.45252531287966,40.69961463229585
0.309745,0.695852,0.0,2025-01-23 15:20:05.149,2201.0,122.0,-13.31785,13.709640000000002,-0.3663099999999986,-0.033810000000000784,0.36786700341291695,3.0153033066632537,40.69961463229585
0.296547,0.675273,0.0,2025-01-23 15:20:05.272,2324.0,123.0,-14.24171,12.269110000000001,-0.9238599999999995,-1.4405300000000008,1.7113281334974895,13.913236857703167,40.69961463229585
0.486859,0.582859,0.0,2025-01-23 15:20:05.394,2446.0,122.0,-0.919870000000001,5.800130000000001,13.321839999999998,-6.46898,14.809426836511937,121.38874456157325,40.69961463229585
0.456094,0.67795,0.0,2025-01-23 15:20:05.516,2568.0,122.0,-3.07342,12.456500000000004,-2.153549999999999,6.656370000000003,6.996073125646989,57.34486168563106,40.69961463229585
0.45342,0.699895,0.0,2025-01-23 15:20:05.638,2690.0,122.0,-3.2606000000000006,13.992650000000003,-0.18718000000000057,1.5361499999999992,1.5475119304548182,12.684524020121462,40.69961463229585
0.458042,0.599247,0.0,2025-01-23 15:20:05.761,2813.0,123.0,-2.93706,6.947289999999998,0.3235400000000008,-7.045360000000005,7.052784957816314,57.33971510419768,40.69961463229585
0.561342,0.569203,0.0,2025-01-23 15:20:05.883,2935.0,122.0,4.293940000000001,4.844210000000001,7.231000000000001,-2.1030799999999967,7.530624574787937,61.72643094088473,40.69961463229585
0.537268,0.668621,0.0,2025-01-23 15:20:06.005,3057.0,122.0,2.6087599999999975,11.80347,-1.6851800000000035,6.95926,7.1603862591343495,58.69169064864221,40.69961463229585
0.523653,0.722582,0.0,2025-01-23 15:20:06.127,3179.0,122.0,1.6557100000000025,15.580739999999997,-0.9530499999999951,3.777269999999996,3.8956479506495403,31.931540579094595,40.69961463229585
0.281263,0.702146,0.0,2025-01-23 15:20:06.249,3301.0,122.0,-15.31159,14.150220000000003,-16.9673,-1.4305199999999942,17.027497078560902,139.56964818492543,40.69961463229585
0.271491,0.701563,0.0,2025-01-23 15:20:06.372,3424.0,123.0,-15.995630000000002,14.109410000000004,-0.6840400000000013,-0.04080999999999868,0.6852562861440978,5.571189318244698,40.69961463229585
0.260728,0.712746,0.0,2025-01-23 15:20:06.494,3546.0,122.0,-16.749039999999997,14.89222,-0.7534099999999953,0.782809999999996,1.086470489336911,8.905495814236977,40.69961463229585
0.258116,0.714777,0.0,2025-01-23 15:20:06.616,3668.0,122.0,-16.93188,15.03439,-0.18284000000000233,0.14217000000000013,0.23160909848276878,1.8984352334653178,40.69961463229585
0.467066,0.690572,0.0,2025-01-23 15:20:06.738,3790.0,122.0,-2.3053800000000013,13.340039999999998,14.626499999999998,-1.6943500000000018,14.72431065186075,120.69107091689139,40.69961463229585
0.244151,0.69046,0.0,2025-01-23 15:20:06.861,3913.0,123.0,-17.90943,13.332199999999997,-15.604049999999999,-0.007840000000001623,15.604051969539835,126.86221113447021,40.69961463229585
0.253772,0.694367,0.0,2025-01-23 15:20:06.983,4035.0,122.0,-17.23596,13.605689999999997,0.6734700000000018,0.2734900000000007,0.7268828110500363,5.958055828278986,40.69961463229585
0.447645,0.679321,0.0,2025-01-23 15:20:07.105,4157.0,122.0,-3.664849999999999,12.552469999999996,13.57111,-1.0532200000000014,13.611917535766223,111.57309455546084,40.69961463229585
0.440145,0.690557,0.0,2025-01-23 15:20:07.227,4279.0,122.0,-4.18985,13.338989999999999,-0.5250000000000008,0.786520000000003,0.9456419567679966,7.751163580065545,40.69961463229585
0.439214,0.687185,0.0,2025-01-23 15:20:07.350,4402.0,123.0,-4.25502,13.102950000000003,-0.06517000000000017,-0.2360399999999956,0.24487141625759004,1.990824522419431,40.69961463229585
0.56548,0.543262,0.0,2025-01-23 15:20:07.595,4647.0,245.0,4.583599999999999,3.028340000000002,8.838619999999999,-10.074610000000002,13.4022001983443,54.70285795242572,40.69961463229585
0.515353,0.659941,0.0,2025-01-23 15:20:07.716,4768.0,121.0,1.0747099999999965,11.19587,-3.5088900000000023,8.167529999999998,8.889367544038214,73.46584747139019,40.69961463229585
0.503699,0.675791,0.0,2025-01-23 15:20:07.839,4891.0,123.0,0.25893000000000055,12.305370000000002,-0.815779999999996,1.1095000000000024,1.3771300804208724,11.196179515616848,40.69961463229585
0.494637,0.685316,0.0,2025-01-23 15:20:07.961,5013.0,122.0,-0.37541000000000047,12.972120000000002,-0.634340000000001,0.6667500000000004,0.9202949516866872,7.543401243333502,40.69961463229585
0.163239,0.460086,0.0,2025-01-23 15:20:08.206,5258.0,123.0,-23.573269999999997,-2.7939800000000004,-1.3253099999999982,-2.424590000000002,2.7631654427847794,22.46475969743723,40.69961463229585
0.171237,0.460443,0.0,2025-01-23 15:20:08.328,5380.0,122.0,-23.01341,-2.7689900000000005,0.5598599999999969,0.024989999999999846,0.5604174512807364,4.593585666235544,40.69961463229585
0.138448,0.42122,0.0,2025-01-23 15:20:08.451,5503.0,123.0,-25.30864,-5.5146000000000015,-2.29523,-2.745610000000001,3.5786107674627043,29.094396483436622,40.69961463229585
0.132949,0.416608,0.0,2025-01-23 15:20:08.573,5625.0,122.0,-25.69357,-5.837440000000002,-0.38493000000000066,-0.32284000000000024,0.5023910533638121,4.117959453801738,40.69961463229585
0.134037,0.407754,0.0,2025-01-23 15:20:08.695,5747.0,122.0,-25.617410000000003,-6.4572199999999995,0.07615999999999801,-0.6197799999999978,0.6244418259533845,5.118375622568726,40.69961463229585
0.355474,0.406372,0.0,2025-01-23 15:20:08.817,5869.0,122.0,-10.116819999999999,-6.553959999999999,15.500590000000004,-0.0967399999999996,15.500891876782449,127.05649079329875,40.69961463229585
0.351565,0.446083,0.0,2025-01-23 15:20:08.939,5991.0,122.0,-10.39045,-3.7741899999999995,-0.2736300000000007,2.7797699999999996,2.7932050819443957,22.895123622495046,40.69961463229585
0.352107,0.472142,0.0,2025-01-23 15:20:09.061,6113.0,122.0,-10.35251,-1.9500599999999997,0.037939999999998975,1.8241299999999998,1.824524513537705,14.955118963423812,40.69961463229585
0.35412,0.470051,0.0,2025-01-23 15:20:09.184,6236.0,123.0,-10.2116,-2.0964300000000002,0.14090999999999987,-0.14637000000000056,0.20317432170429442,1.6518237536934506,40.69961463229585
0.503207,0.43921,0.0,2025-01-23 15:20:09.306,6358.0,122.0,0.2244899999999972,-4.255300000000001,10.436089999999998,-2.1588700000000007,10.657049036435929,87.35286095439287,40.69961463229585
0.620837,0.45745,0.0,2025-01-23 15:20:09.429,6481.0,123.0,8.458589999999997,-2.9784999999999986,8.2341,1.2768000000000024,8.332503888387931,67.7439340519344,40.69961463229585
0.578277,0.416588,0.0,2025-01-23 15:20:09.550,6602.0,121.0,5.479390000000003,-5.838839999999999,-2.9791999999999943,-2.8603400000000008,4.130033602236182,34.132509109389936,40.69961463229585
